Plate,Well,Reagent Identifier,Gene Identifier,Gene Symbol,plate index,% phenotype TRACMIT 1st,n TRACMIT 1st,% phenotype TRACMIT 2nd,n TRACMIT 2nd,Average % phenotype TRACMIT 1st and 2nd,n TRACMIT 1st + 2nd,% phenotype manual 1st,n man 1st,% phenotype manuel 2nd,n man 2nd,phenotypic categories
BSF012983,A1,scrambled,,,A,,,,,,,,,,,
BSF012983,A2,ADRA1D,146,ADRA1D,A,32.8,64,37.5,8,35.2,72,20,49,50,6,nh after manual
BSF012983,A3,ADRB2,154,ADRB2,A,51,49,29.4,17,40.2,66,45.2,31,25,8,nh
BSF012983,A4,TAAR2,9287,TAAR2,A,51.9,54,60,5,55.9,59,46,26,57.1,12,HIT
BSF012983,A5,GPR156,165829,GPR156,A,29,69,20,5,24.5,74,,,,,nh
BSF012983,A6,GLP2R,9340,GLP2R,A,11.9,42,40,5,26,47,,,,,nh
BSF012983,A7,ITPKC,80271,ITPKC,A,24.6,57,29.4,17,27,74,,,,,nh
BSF012983,A8,MLCK,91807,MLCK,A,36.1,36,61.5,13,48.8,49,37,27,50,8,HIT
BSF012983,A9,AURKC,6795,AURKC,A,23.8,105,11.8,17,17.8,122,,,,,nh
BSF012983,A10,AK1,203,AK1,A,33,103,36.8,19,34.9,122,,,25,16,nh after manual
BSF012983,A11,CLK1,1195,CLK1,A,33.3,102,34.5,29,33.9,131,24.7,73,30.8,26,nh after manual
BSF012983,A12,LGN,,,A,,,,,,,,,,,
BSF012983,B1,scrambled,,,A,,,,,,,,,,,
BSF012983,B2,GPR42,2866,GPR42,A,17.8,90,16.7,18,17.2,108,,,,,nh
BSF012983,B3,ELTD1,64123,ELTD1,A,29.8,94,29,31,29.4,125,,,,,nh
BSF012983,B4,GPR10,2834,GPR10,A,27.6,105,37,27,32.3,132,,,,,nh
BSF012983,B5,BRS3,680,BRS3,A,23.1,39,28.6,28,25.8,67,,,,,nh
BSF012983,B6,GPR20,2843,GPR20,A,31.3,48,58.8,17,45,65,12,31,41.7,12,nh after manual
BSF012983,B7,PDK2,5164,PDK2,A,37.5,24,83.3,6,60.4,30,16,6,50,2,nh after manual
BSF012983,B8,NEK11,79858,NEK11,A,20.2,84,37.5,16,28.9,100,,,,,nh
BSF012983,B9,SNF1LK,150094,SNF1LK,A,32.1,53,26.9,52,29.5,105,,,,,nh
BSF012983,B10,LATS1,9113,LATS1,A,32.4,34,33.3,9,32.8,43,18,27,,,nh after manual
BSF012983,B11,PRKG1,5592,PRKG1,A,31.3,80,25,24,28.1,104,,,,,nh
BSF012983,B12,LGN,,,A,,,,,,,,,,,
BSF012983,C1,scrambled,,,A,,,,,,,,,,,
BSF012983,C2,GPBAR1,151306,GPBAR1,A,34.1,41,50,2,42.1,43,14,27,,,nh after manual
BSF012983,C3,GPR142,350383,GPR142,A,29.5,95,26.3,19,27.9,114,,,,,nh
BSF012983,C4,OR1A1,8383,OR1A1,A,41.7,24,33.3,33,37.5,57,35.3,17,20,25,nh after manual
BSF012983,C5,OPRK1,4986,OPRK1,A,27.4,95,31.8,22,29.6,117,,,,,nh
BSF012983,C6,CCR4,1233,CCR4,A,29.4,68,20.4,54,24.9,122,,,,,nh
BSF012983,C7,URKL1,54963,URKL1,A,37.5,40,42.2,45,39.9,85,,,27.3,33,nh after manual
BSF012983,C8,GUCY2D,3000,GUCY2D,A,16.7,18,50,18,33.3,36,,,,,nh
BSF012983,C9,CAMKIINALPHA,55450,CAMKIINALPHA,A,17.9,67,26.8,41,22.4,108,,,,,nh
BSF012983,C10,PRKCL1,5585,PRKCL1,A,42.4,59,31.3,32,36.8,91,35.4,48,8.7,23,nh after manual
BSF012983,C11,MKNK2,2872,MKNK2,A,39.7,63,50,2,44.8,65,21,41,,,nh after manual
BSF012983,C12,LGN,,,A,,,,,,,,,,,
BSF012983,D1,scrambled,,,A,,,,,,,,,,,
BSF012983,D2,PTGIR,5739,PTGIR,A,29.1,79,0,7,14.6,86,,,,,nh
BSF012983,D3,CCRL1,51554,CCRL1,A,27.2,92,38.5,13,32.8,105,,,,,nh
BSF012983,D4,CALCR,799,CALCR,A,21.7,60,29.4,17,25.5,77,,,,,nh
BSF012983,D5,GNRHR,2798,GNRHR,A,34.2,79,24.2,33,29.2,112,,,,,nh
BSF012983,D6,CXCR6,10663,CXCR6,A,40.4,47,50,8,45.2,55,35.7,28,66.7,6,HIT
BSF012983,D7,FGFR3,2261,FGFR3,A,27.5,40,21.4,28,24.5,68,,,,,nh
BSF012983,D8,PCTK3,5129,PCTK3,A,30.1,73,46.2,13,38.1,86,18,53,44.4,9,nh after manual
BSF012983,D9,DYRK4,8798,DYRK4,A,37.7,53,50,8,43.9,61,25,43,33.3,6,nh after manual
BSF012983,D10,PRKACG,5568,PRKACG,A,38.9,18,33.3,3,36.1,21,41.2,17,,,n to low **
BSF012983,D11,MAP3K2,10746,MAP3K2,A,50,44,27.3,22,38.6,66,27,29,27.3,22,nh
BSF012983,D12,LGN,,,A,,,,,,,,,,,
BSF012983,E1,LGN,,,A,,,,,,,,,,,
BSF012983,E2,ACVRL1,94,ACVRL1,A,18.1,72,37,27,27.5,99,,,,,nh
BSF012983,E3,PAPSS1,9061,PAPSS1,A,26.2,84,46.7,15,36.4,99,,,,,nh
BSF012983,E4,MASTL,84930,MASTL,A,35.7,28,25.7,35,30.7,63,,,,nd,nh
BSF012983,E5,BRD3,8019,BRD3,A,26.3,95,41.9,31,34.1,126,,,,,nh
BSF012983,E6,HK1,3098,HK1,A,75,16,25,40,50,56,,,,,nh
BSF012983,E7,BUB1,699,BUB1,A,28.6,7,25,28,26.8,35,,,,,nh
BSF012983,E8,PRKCM,5587,PRKCM,A,37.8,98,31.6,38,34.7,136,,,21.9,32,nh after manual
BSF012983,E9,DLG4,1742,DLG4,A,27.1,70,28.9,38,28,108,,,,,nh
BSF012983,E10,MAP3K15,389840,MAP3K15,A,33.3,39,30.4,46,31.9,85,24,29,,,nh after manual
BSF012983,E11,CSNK1E,1454,CSNK1E,A,40,20,22.5,40,31.3,60,27.3,11,,,nh
BSF012983,E12,scrambled,,,A,,,,,,,,,,,
BSF012983,F1,LGN,,,A,,,,,,,,,,,
BSF012983,F2,CDC2,983,CDC2,A,15.2,33,0,1,7.6,34,,,,,nh
BSF012983,F3,LRRK2,120892,LRRK2,A,30,100,11.8,17,20.9,117,,,,,nh
BSF012983,F4,FN3K,64122,FN3K,A,24.6,65,35,20,29.8,85,,,,,nh
BSF012983,F5,PIK4CA,5297,PIK4CA,A,30,30,0,1,15,31,25,28,nd,nd,nh
BSF012983,F6,TAO1,9344,TAO1,A,30.6,49,18.2,11,24.4,60,,,,,nh
BSF012983,F7,FGFR1,2260,FGFR1,A,22.5,40,42.9,14,32.7,54,,,,,nh
BSF012983,F8,ERBB2,2064,ERBB2,A,23.8,42,100,3,61.9,45,,,,,nh
BSF012983,F9,FLJ10761,55224,FLJ10761,A,22,59,41.4,29,31.7,88,,,,,nh
BSF012983,F10,NEK9,91754,NEK9,A,32.8,58,29.4,17,31.1,75,,,,,nh
BSF012983,F11,FLT3,2322,FLT3,A,nd,0,54.5,11,no average,11,,,42,9,not dividing
BSF012983,F12,scrambled,,,A,,,,,,,,,,,
BSF012983,G1,LGN,,,A,,,,,,,,,,,
BSF012983,G2,TEK,7010,TEK,A,26.1,88,28.6,14,27.4,102,,,,,nh
BSF012983,G3,CSNK1G3,1456,CSNK1G3,A,34.1,85,66.7,9,50.4,94,,,25,4,nh after manual
BSF012983,G4,PHKG2,5261,PHKG2,A,34.4,32,50,10,42.2,42,,,28.6,7,nh after manual
BSF012983,G5,KCNH8,131096,KCNH8,A,49.4,81,100,1,74.7,82,23.3,69,,,nh after manual
BSF012983,G6,MAP4K5,11183,MAP4K5,A,44.1,59,25,4,34.5,63,,,,,nh
BSF012983,G7,ADCK1,57143,ADCK1,A,53.8,39,25,24,39.4,63,56,25,11.1,18,nh
BSF012983,G8,CDK8,1024,CDK8,A,28.8,59,28,25,28.4,84,,,,,nh
BSF012983,G9,PIK3C2G,5288,PIK3C2G,A,30,70,30,20,30,90,18,55,,,nh after manual
BSF012983,G10,PIM1,5292,PIM1,A,13.3,90,11.1,27,12.2,117,,,,,nh
BSF012983,G11,MAP3K12,7786,MAP3K12,A,46.9,32,66.7,6,56.8,38,29,19,,,nh after manual
BSF012983,G12,scrambled,,,A,,,,,,,,,,,
BSF012983,H1,LGN,,,A,,,,,,,,,,,
BSF012983,H2,PIP5KL1,138429,PIP5KL1,A,24,50,16.7,6,20.3,56,,,,,nh
BSF012983,H3,PLK2,10769,PLK2,A,30.3,66,50,20,40.2,86,32,49,40,15,HIT
BSF012983,H4,MARK2,2011,MARK2,A,22.2,36,75,8,48.6,44,,,,,nh
BSF012983,H5,CALM3,808,CALM3,A,27.1,70,50,4,38.6,74,,,,,nh
BSF012983,H6,CDKL5,6792,CDKL5,A,25,64,7.4,27,16.2,91,,,,,nh
BSF012983,H7,KIAA0999,23387,KIAA0999,A,26.7,30,31.3,16,29,46,,,,,nh
BSF012983,H8,HIPK3,10114,HIPK3,A,33.3,18,11.1,18,22.2,36,,,,,nh
BSF012983,H9,MAPK3,5595,MAPK3,A,27.3,22,50,2,38.6,24,,,,,nh
BSF012983,H10,NYD-SP25,89882,NYD-SP25,A,27.8,36,23.8,21,25.8,57,,,,,nh
BSF012983,H11,STK31,56164,STK31,A,34.4,93,18.4,38,26.4,131,,,,,nh
BSF012983,H12,scrambled,,,A,,,,,,,,,,,
BSF012984,A1,scrambled,,,B,,,,,,,,,,,
BSF012984,A2,CNR2,1269,CNR2,B,41.7,48,27.6,58,34.6,106,50,46,,,nh 
BSF012984,A3,MRGPRX4,117196,MRGPRX4,B,21.4,84,28.4,116,24.9,200,,,,,nh
BSF012984,A4,OPN3,23596,OPN3,B,22.8,92,31.7,142,27.3,234,,,,,nh
BSF012984,A5,F2RL3,9002,F2RL3,B,16.7,54,13.9,36,15.3,90,,,,,nh
BSF012984,A6,P2RY5,10161,P2RY5,B,44.4,36,49,51,46.7,87,44.4,27,44.2,43,HIT
BSF012984,A7,EPHA5,2044,EPHA5,B,17.6,74,22.1,104,19.8,178,,,,,nh
BSF012984,A8,PSKH1,5681,PSKH1,B,19.2,120,27.9,122,23.5,242,,,,,nh
BSF012984,A9,PRKCE,5581,PRKCE,B,13.6,59,19,42,16.3,101,,,,,nh
BSF012984,A10,TRPM6,140803,TRPM6,B,11.4,140,12.1,107,11.8,247,,,,,nh
BSF012984,A11,PAPSS2,9060,PAPSS2,B,16.5,79,21.9,96,19.2,175,,,,,nh
BSF012984,A12,LGN,,,B,,,,,,,,,,,
BSF012984,B1,scrambled,,,B,,,,,,,,,,,
BSF012984,B2,VN1R4,317703,VN1R4,B,14.3,98,18.9,95,16.6,193,,,,,nh
BSF012984,B3,HTR1A,3350,HTR1A,B,17.5,40,17.8,90,17.6,130,,,,,nh
BSF012984,B4,OPN1MW,2652,OPN1MW,B,15.3,111,30.1,166,22.7,277,,,,,nh
BSF012984,B5,GPR55,9290,GPR55,B,21.8,124,25.2,123,23.5,247,,,,,nh
BSF012984,B6,EMR3,84658,EMR3,B,66.7,3,38.5,13,52.6,16,25,8,,,nh after manual
BSF012984,B7,MYLK2,85366,MYLK2,B,23,74,30.2,96,26.6,170,,,,,nh
BSF012984,B8,KIAA1361,57551,KIAA1361,B,17.9,84,19.3,140,18.6,224,,,,,nh
BSF012984,B9,PTK9,5756,PTK9,B,21.1,123,20.8,173,21,296,,,,,nh
BSF012984,B10,PFKP,5214,PFKP,B,10.6,94,22.6,137,16.6,231,,,,,nh
BSF012984,B11,RIOK2,55781,RIOK2,B,22.7,110,38.5,52,30.6,162,,,,,nh
BSF012984,B12,LGN,,,B,,,,,,,,,,,
BSF012984,C1,scrambled,,,B,,,,,,,,,,,
BSF012984,C2,MRGPRE,116534,MRGPRE,B,22.2,54,20.4,49,21.3,103,,,,,nh
BSF012984,C3,BDKRB2,624,BDKRB2,B,23,61,16.4,116,19.7,177,,,,,nh
BSF012984,C4,PTHR2,5746,PTHR2,B,19.2,78,26.7,86,23,164,,,,,nh
BSF012984,C5,PVR,5817,PVR,B,13.8,58,31.9,47,22.9,105,,,,,nh
BSF012984,C6,GPR24,2847,GPR24,B,24.4,45,28,93,26.2,138,,,,,nh
BSF012984,C7,MAP3K9,4293,MAP3K9,B,24.7,97,28.7,157,26.7,254,,,,,nh
BSF012984,C8,CAMKK2,10645,CAMKK2,B,17.3,75,31.1,106,24.2,181,,,,,nh
BSF012984,C9,KIT,3815,KIT,B,21.5,93,34.6,52,28.1,145,,,,,nh
BSF012984,C10,RIPK2,8767,RIPK2,B,45.7,35,44.8,67,45.2,102,35.7,28,16.7,30,nh after manual
BSF012984,C11,TNNI3K,51086,TNNI3K,B,27.1,107,35.9,78,31.5,185,,,,,nh
BSF012984,C12,LGN,,,B,,,,,,,,,,,
BSF012984,D1,scrambled,,,B,,,,,,,,,,,
BSF012984,D2,NTSR1,4923,NTSR1,B,28.3,53,29,62,28.7,115,,,,,nh
BSF012984,D3,GPRC6A,222545,GPRC6A,B,23.3,73,19.4,98,21.3,171,,,,,nh
BSF012984,D4,EDNRB,1910,EDNRB,B,26.7,90,20.5,132,23.6,222,,,,,nh
BSF012984,D5,NPY2R,4887,NPY2R,B,20,95,26.5,102,23.2,197,,,,,nh
BSF012984,D6,EDG5,9294,EDG5,B,44.1,34,32.3,65,38.2,99,21.1,19,,,nh after manual
BSF012984,D7,IRAK4,51135,IRAK4,B,19.5,82,18.6,102,19.1,184,,,,,nh
BSF012984,D8,SGK2,10110,SGK2,B,9,100,19.8,121,14.4,221,,,,,nh
BSF012984,D9,PANK4,55229,PANK4,B,10.7,56,36.4,44,23.5,100,,,,,nh
BSF012984,D10,FLT1,2321,FLT1,B,23.5,85,35.2,122,29.4,207,,,,,nh
BSF012984,D11,LATS2,26524,LATS2,B,37.9,66,34.4,64,36.1,130,,,27.3,44,nh after manual
BSF012984,D12,LGN,,,B,,,,,,,,,,,
BSF012984,E1,LGN,,,B,,,,,,,,,,,
BSF012984,E2,LYN,4067,LYN,B,14.1,85,13.8,87,14,172,,,,,nh
BSF012984,E3,MAPK4,5596,MAPK4,B,17.6,74,26.7,90,22.1,164,,,,,nh
BSF012984,E4,TRIB1,10221,TRIB1,B,31.3,67,41.5,53,36.4,120,25,36,33.3,45,nh after manual
BSF012984,E5,FLJ34389,197259,FLJ34389,B,23.3,30,22.8,79,23.1,109,,,,,nh
BSF012984,E6,THNSL1,79896,THNSL1,B,30.2,63,18.6,156,24.4,219,,,,,nh
BSF012984,E7,UHMK1,127933,UHMK1,B,12.3,122,15.2,164,13.8,286,,,,,nh
BSF012984,E8,PIK4CB,5298,PIK4CB,B,19.3,57,24.4,41,21.8,98,,,,,nh
BSF012984,E9,BTK,695,BTK,B,22.4,107,26.5,181,24.5,288,,,,,nh
BSF012984,E10,GSK3A,2931,GSK3A,B,13.2,91,26.4,91,19.8,182,,,,,nh
BSF012984,E11,RELA,5970,RELA,B,7.1,85,23,122,15,207,,,,,nh
BSF012984,E12,scrambled,,,B,,,,,,,,,,,
BSF012984,F1,LGN,,,B,,,,,,,,,,,
BSF012984,F2,PIM2,11040,PIM2,B,20.8,48,28,82,24.4,130,,,,,nh
BSF012984,F3,HK2,3099,HK2,B,25.7,35,41.7,24,33.7,59,,,,,nh
BSF012984,F4,CRIM1,51232,CRIM1,B,23.2,69,40,55,31.6,124,,,,,nh
BSF012984,F5,SSTK,83983,SSTK,B,15.1,106,26.1,119,20.6,225,,,,,nh
